nombre_cie,origen
Juniperus communis,Foranea
Brachychiton acerifolium,Foranea
Prunus sp.,Foranea
Acacia melanoxylon,Foranea
Euphorbia umbellata,Foranea
Morus sp.,Foranea
Cupressus funebris,Foranea
Prosopis sp.,Foranea
Phoenix reclinata,Foranea
Phoenix dactilifera,Foranea
Psidium guajaba,Foranea
Malus sylvestris,Foranea
Eucalyptus sp.,Foranea
Calocedrus decurrens,Foranea
Ficus macrophylla,Foranea
Phoenix paludosa,Foranea
Howea forsteriana,Foranea
Sabal palmetto,Foranea
Cedrus libani,Foranea
Cedrela angustifolia,Foranea
Araucaria araucana,Foranea
Citrus sp.,Foranea
Prunus cerasus,Foranea
Erythrina falcata,Foranea
Pinus halepensis,Foranea
Fraxinus sp.,Foranea
Aesculus hippocastanum,Foranea
Acca sellowiana,Foranea
Cocculus laurifolius,Foranea
Nicotiana glauca,Foranea
Thuja sp.,Foranea
Salix nigra,Foranea
Ficus glomerata,Foranea
Rhus succedanea,Foranea
Camellia japonica,Foranea
Quercus macrocarpa,Foranea
Chamaerops humilis,Foranea
Annona cherimola,Foranea
Eugenia pungens,Foranea
Inga uruguayensis,Foranea
Caesalpinia gilliesii,Foranea
Bougainvillea sp.,Foranea
Euphorbia tirucalli,Foranea
Handroanthus pulcherrimus,Foranea
Trithrinax campestris,Foranea
Ficus alii,Foranea
Rhapis excelsa,Foranea
Ficus monckii,Foranea
Plumeria rubra,Foranea
Malvaviscus arboreus,Foranea
Diospyros virginiana,Foranea
Poecilanthe parviflora,Foranea
Myoporum laetum,Foranea
Pinus radiata,Foranea
Ilex aquifolium,Foranea
Sesbania punicea,Foranea
Lagunaria partesonii,Foranea
Agathis robusta,Foranea
Abies alba,Foranea
Ficus altissima,Foranea
Acacia sp.,Foranea
Picea abies,Foranea
Fortunella margarita,Foranea
Poncirus trifoliata,Foranea
Pinus sp.,Foranea
Parapiptadenia rigida,Foranea
Salix viminalis,Foranea
Yucca sp.,Foranea
Salix sp.,Foranea
Schefflera sp.,Foranea
Gleditsia amorphoides,Foranea
Beaucarnea recurvata,Foranea
Chamaecyparis lawsoniana,Foranea
Viburnum suspensum,Foranea
Yucca gloriosa,Foranea
Buxus sempervirens,Foranea
Eucalyptus tereticornis,Foranea
Eucalyptus cinerea,Foranea
Plumeria alba,Foranea
Duranta erecta variegata,Foranea
Pittosporum tenuifolium,Foranea
Cydonia oblonga,Foranea
Juglans australis,Foranea
Araucaria columnaris,Foranea
Caryota urens,Foranea
Gleditsia triacanthos inermis,Foranea
Quercus suber,Foranea
Acer negundo f.aureo marginatum,Foranea
Dypsis lutescens,Foranea
Euterpe edulis,Foranea
Callistemon sp.,Foranea
Parkinsonia aculeata,Foranea
Carpinus betulus,Foranea
Ceratonia siliqua,Foranea
Gardenia thunbergia,Foranea
Juniperus virginiana,Foranea
Ligustrum sp.,Foranea
Ficus retusa,Foranea
Cordia myxa,Foranea
Ficus luschnathiana,Foranea
Hexachlamys edulis,Foranea
Pereskia grandiflora,Foranea
Quercus ilex,Foranea
Brugmansia arborea,Foranea
Sambucus peruvianus,Foranea
Condalia buxifolia,Foranea
Acacia decurrens,Foranea
Acer rubrum,Foranea
Eleagnus angustifolia,Foranea
Cordyline australis,Foranea
Koelreuteria paniculata,Foranea
Taxodium mucronatum,Foranea
Citharexylum montevidense,Foranea
Melaleuca spp.,Foranea
Acer monspessolanum,Foranea
Livistrona australis,Foranea
Fagus sylvatica,Foranea
Aspidosperma australe,Foranea
Prosopis chilensis,Foranea
Euonymus japonica,Foranea
Myoporum tenuifolium,Foranea
Juniperus chinensis variegata,Foranea
Syzygium australe,Foranea
Vitis vinifera,Foranea
Pyrus communis,Foranea
Acer pseudoplatanus f. atropurpurea,Foranea
Ruprechtia salicifolia,Foranea
Salix alba,Foranea
Melia azedarach variegata,Foranea
Dombeya wallichii,Foranea
Sabal minor,Foranea
Cotoneaster salicifolius,Foranea
Salix  viminalis,Foranea
Quercus imbricaria,Foranea
Dracaena arborea,Foranea
Cupressocyparis x leylandii,Foranea
Ficus aspera,Foranea
Eucalyptus saligna,Foranea
Thuja plicata,Foranea
Drimis winteri,Foranea
Cocus nucifera,Foranea
Dracaena indivisa,Foranea
Jasminum sp.,Foranea
Quercus sp.,Foranea
Ficus sp.,Foranea
Pinus pinaster,Foranea
Cordia boissieri,Foranea
Sambucus australis,Foranea
Erythrina americana,Foranea
Carica Papaya,Foranea
Salix babylonica var. sacramenta,Foranea
Salix matsudana tortuosa,Foranea
Sesbania virgata,Foranea
Eugenia sp.,Foranea
Pyracantha coccinea,Foranea
Podocarpus sp.,Foranea
Vallesia glabra,Foranea
Osmanthus fragrans,Foranea
Pterocarya rhoifolia,Foranea
Araucaria sp.,Foranea
Juglans mandshurica,Foranea
Cotoneaster acuminatus,Foranea
Jasminum fruticans,Foranea
Handroanthus sp.,Foranea
Araucaria cunninghamii,Foranea
Jasminum officinale,Foranea
Butya capitata,Foranea
Sterculia coccinea,Foranea
Roystonea regia,Foranea
Cajanus cajana,Foranea
Evonymus japonica,Foranea
Quercus rubra,Foranea
Cedrela sp.,Foranea
Tristania conferta,Foranea
Erythryna poepiggiana,Foranea
Schefflera morototoni,Foranea
Magnolia liliflora,Foranea
Aloysia citriadora,Foranea
Brunfelsia pauciflora,Foranea
Datura metel,Foranea
Eucalyptus sideroxylon,Foranea
Ficus auriculata,Foranea
Anacardium occidentale,Foranea
Eucalyptus citriodora,Foranea
Celtis laevigata,Foranea
Cordia trichotoma,Foranea
Eucalyptus globulus var. globulus,Foranea
Buxus sempervirens variegata,Foranea
Litsea glaucescens,Foranea
Philadelphus coronarius,Foranea
Fraxinus angustifolia,Foranea
Acer sp.,Foranea
Alnus glutinosa,Foranea
Senna pendula,Foranea
Prunus serrulata,Foranea
Sterculia monosperma,Foranea
Ficus microcarpa,Foranea
Crataegus macrosperma,Foranea
schefflera digitata,Foranea
Cactus,Foranea
Aesculus x carnea,Foranea
Ulmus sp.,Foranea
Podocarpus parlatorei,Foranea
Vitis sp.,Foranea
Eucalyptus robusta,Foranea
Cecropia adenopus,Foranea
Maclura pomifera,Foranea
Ilex cornuta,Foranea
Taxodium ascendens,Foranea
Abutilon pictum,Foranea
Synadenium grantii,Foranea
Brugmansia sp.,Foranea
Pinus strobus,Foranea
Prunus laurocerasus,Foranea
Allophylus edulis,Foranea
Schinus sp.,Foranea
Ilex sp.,Foranea
Pouteria salicifolia,Foranea
Schinus terebinthifolius,Foranea
Juniperus sp.,Foranea
Scutia buxifolia,Foranea
